Rank,RB,WR,TE,QB
1,Christian McCaffrey,Tyreek Hill,Travis Kelce,Josh Allen
2,Travis Ettiene,Stefon Diggs,Mark Andrews,Jalen Hurts
3,Austin Ekeler,Justin Jefferson,Hockenson,Patrick Mahomes
4,Bijan Robinson,AJ Brown,Sam LaPorta,Justin Herbert
5,Ken Walker,Jamarr Chase,George Kittle,Lamar Jackson
6,D'Andre Swift,Cooper Kupp,Dallas Goedert,Tua T
7,Alvin Kamara,Keenan Allen,Cole Kmet,Brock Purdy
8,Saquon Barkley,Davante Adams,Evan Engram,Joe Burrow
9,Raheem Mostert,Brandon Aiyuk,Dalton Schultz,Trevor Lawrence
10,Derrick Henry,Amon-Ra St Brown,Darren Waller,Justin Fields
11,Josh Jacobs,CeeDee Lamb,Kyle Pitts,Anthony Richardson
12,Breece Hall,Chris Olave,Jake Ferguson,Jared Goff
13,David Montgomery,Jaylen Waddle,Logan Thomas,Kirk Cousins
14,Aaron Jones,DK Metcalf,Luke Musgrave,Geno Smith
15,Tony Pollard,Puka Nacua,Dalton Kincaid,CJ Stroud
16,Joe Mixon,DaVonta Smith,,Deshaun Watson
17,Jonathon Taylor,DJ Moore,,Matthew Stafford
18,Zach Moss,Mike Evans,,
19,Isiah Pacheco,Christian Kirk,,
20,Brian Robinson,Nico Collins,,
21,Kyren Williams,Adam Thielen,,
22,Devon Achane,Jakobi Meyers,,
23,James Cook,Amari Cooper,,
24,Jerome Ford,Zay Flowers,,
25,Jahmyr Gibbs,Christian Watson,,
26,Alexander Mattison,Deebo Samuel,,
27,Rhanondre Stevenson,Garrett Wilson,,
28,Rachaad White,Terry McLaurin,,
29,Dameon Pierce,Chris Godwin,,
30,James Conner,Marquise Brown,,
31,Javonte Williams,Calvin Ridley,,
32,Najee Harris,Diontae Johnson,,
33,Jaylen Warren,Tyler Lockett,,
34,Rochon Johnson,George Pickens,,
35,Miles Sanders,Jordan Addison,,
36,Tyler Allgeier,DeAndre Hopkins,,
37,Chuba Hubbard,Tee Higgins,,
38,Kareem Hunt,Gabe Davis,,
39,Aj Dillon,Drake London,,
40,,Michael Thomas,,
41,,Jerry Jeudy,,
42,,Joshua Palmer,,
43,,Tank Dell,,
44,,Rashee Rice,,
45,,Tutu Atwell,,
46,,JSN,,
47,,KJ Osborn,,
48,,Josh Reynolds,,
49,,Curtis Samuel,,
