pick_number,round,drafter,sleeper_team_name,original_name,player_position,player_team
1,1,Ethan,Qbs doin the Cam Cam,Jahmyr Gibbs,RB,DET
2,1,Cody,The Bijantine Empire,Bijan Robinson,RB,ATL
3,1,Riley,rileybotz,Christian McCaffrey,RB,SF
4,1,Ryan,RBotz,Puka Nacua,WR,LAR
5,1,Zach,Mr. Maker Baefield,Ja'Marr Chase,WR,CIN
6,1,Garrett,YouUnderestimateMyBowers,James Cook,RB,BUF
7,1,Austin,Love Thy Nabers,Jaxon Smith-Njigba,WR,SEA
8,1,Mackenzie,KamaraIsAGuyOnTheChiefs,Jonathan Taylor,RB,IND
9,1,TJ,Ladd McBonkers,Amon-Ra St. Brown,WR,DET
10,1,Hannah,Lylas Lucky Lineup,Saquon Barkley,RB,PHI
11,1,Mason,Always be Tuten,Kenneth Walker,RB,KC
12,1,Mike,Harvest is Jeanty,Chase Brown,RB,CIN
13,2,Mike,Harvest is Jeanty,De'Von Achane,RB,MIA
14,2,Mason,Always be Tuten,CeeDee Lamb,WR,DAL
15,2,Hannah,Lylas Lucky Lineup,Justin Jefferson,WR,MIN
16,2,TJ,Ladd McBonkers,Ashton Jeanty,RB,LV
17,2,Mackenzie,KamaraIsAGuyOnTheChiefs,Derrick Henry,RB,BAL
18,2,Austin,Love Thy Nabers,Omarion Hampton,RB,LAC
19,2,Garrett,YouUnderestimateMyBowers,A.J. Brown,WR,NE
20,2,Zach,Mr. Maker Baefield,Brock Bowers,TE,LV
21,2,Ryan,RBotz,Rashee Rice,WR,KC
22,2,Riley,rileybotz,Nico Collins,WR,HOU
23,2,Cody,The Bijantine Empire,George Pickens,WR,DAL
24,2,Ethan,Qbs doin the Cam Cam,Josh Allen,QB,BUF
25,3,Ethan,Qbs doin the Cam Cam,Drake London,WR,ATL
26,3,Cody,The Bijantine Empire,Kyren Williams,RB,LAR
27,3,Riley,rileybotz,Jeremiyah Love,RB,ARI
28,3,Ryan,RBotz,Cam Skattebo,RB,NYG
29,3,Zach,Mr. Maker Baefield,Javonte Williams,RB,DAL
30,3,Garrett,YouUnderestimateMyBowers,Trey McBride,TE,ARI
31,3,Austin,Love Thy Nabers,DeVonta Smith,WR,PHI
32,3,Mackenzie,KamaraIsAGuyOnTheChiefs,Chris Olave,WR,NO
33,3,TJ,Ladd McBonkers,Breece Hall,RB,NYJ
34,3,Hannah,Lylas Lucky Lineup,Malik Nabers,WR,NYG
35,3,Mason,Always be Tuten,Travis Etienne,RB,NO
36,3,Mike,Harvest is Jeanty,Zay Flowers,WR,BAL
37,4,Mike,Harvest is Jeanty,Garrett Wilson,WR,NYJ
38,4,Mason,Always be Tuten,Tee Higgins,WR,CIN
39,4,Hannah,Lylas Lucky Lineup,David Montgomery,RB,HOU
40,4,TJ,Ladd McBonkers,Ladd McConkey,WR,LAC
