,Megan,Devin,Sam N,Kevin,Shouse,Toby,Drew,Penner,Mason,Nick
1,Jonathan Taylor,Josh Allen,Austin Ekeler,Dalvin Cook,Patrick Mahomes,Justin Herbert,Christian McCaffrey,Lamar Jackson,Justin Jefferson,Cooper Kupp
2,Travis Kelce,D'Andre Swift,Jalen Hurts,Nick Chubb,Joe Mixon,Joe Burrow,Najee Harris,Ja'marr Chase,Derrick Henry,Kyler Murray
3,Dak Prescott,Davante Adams,Stefon Diggs,Tyreek Hill,Deebo Samuel,Ceedee Lamb,Russell Wilson,Alvin Kamara,Saquon Barkley,Mark Andrews
4,Keenan Allen,Ezekiel Elliott,Kyle Pitts,DJ Moore,Tom Brady,Leonard Fournette,Mike Evans,Breece Hall,Aaron Jones,Javonte Williams
5,Terry McLaurin,Trey Lance,Michael Pittman Jr.,Courtland Sutton,Tee Higgins,AJ Brown,George Kittle,Matthew Stafford,Aaron Rodgers,James Conner
6,Clyde Edwards-Helaire,Marquise Brown,David Montgomery,Darren Waller,Travis Etienne Jr.,Dk Metcalf,Mike Williams,Diontae Johnson,Kirk Cousins,Derek Carr
7,Tua Tagovailoa,Josh Jacobs,Matt Ryan,Brandin Cooks,Elijah Mitchell,Antonio Gibson,Cam Akers,Michael Thomas,Allen Robinson II,Jaylen Waddle
8,Juju Smith-Schuster,Chase Edmonds,Chris Godwin,Rashaad Penny,Jerry Jeudy,Dalton Schultz,Justin Fields,Amari Cooper,AJ Dillon,JK Dobbins
9,Tj Hockenson,Rashod Bateman,Tony Pollard,Kareem Hunt,Gabriel Davis,Miles Sanders,DeAndre Hopkins,Cordarrelle Patterson,Amon-Ra St. Brown,Darnell Mooney
10,Devin Singletary,Elijah Moore,Devonta Smith,Carson Wentz,Adam Thielen,DeShaun Watson,Trevor Lawrence,Kenneth Walker,Mac Jones,Damien Harris
11,Drake London,Dameon Pierce,Rhamondre Stevenson,Baker Mayfield,Dallas Goedert,Skyy Moore,Treylon Burks,Zach Ertz,Chris Olave,Tyler Lockett
12,Nyheim Hines,Tyler Allgeier,Daniel Jones,Jared Goff,Garrett Wilson,James Cook,Allen Lazard,Isiah Pacheco,Dawson Knox,Jameis Winston
13,Ryan Tannehill,Zach Wilson,Christian Kirk,Hunter Renfrow,Darrell Henderson Jr.,Brandon Aiyuk,Marquez Valdes-Scantling,Kadarius Toney,Julio Jones,Melvin Gordon III
14,Marlon Mack,49ers,Raheem Mostert,Cole Kmet,Christian Watson,Pat Freiermuth,Alexander Mattison,Michael Carter,Isaiah Spiller,Rachaad White
15,DJ Chark Jr,Irv Smith Jr.,Tyler Boyd,Marcus Mariota,Jody Fortson,Robert Woods,Rondale Moore,Malik Willis,Mike Gesicki,Tampa
