Rank,RB,WR,TE,QB
1,Christian McCaffrey,Tyreek Hill,Travis Kelce,Josh Allen
2,Travis Ettiene,Stefon Diggs,Mark Andrews,Jalen Hurts
3,Alvin Kamara,AJ Brown,Hockenson,Patrick Mahomes
4,Saquon Barkley,Jamarr Chase,Sam LaPorta,Lamar Jackson
5,Raheem Mostert,Keenan Allen,George Kittle,Tua T
6,Derrick Henry,Cooper Kupp,Dallas Goedert,Justin Herbert
7,Josh Jacobs,Davante Adams,Cole Kmet,Brock Purdy
8,Austin Ekeler,Brandon Aiyuk,Evan Engram,Joe Burrow
9,Bijan Robinson,Amon-Ra St Brown,Dalton Schultz,Trevor Lawrence
10,Ken Walker,CeeDee Lamb,Darren Waller,Justin Fields
11,D'Andre Swift,Chris Olave,Kyle Pitts,Jared Goff
12,Breece Hall,Puka Nacua,Jake Ferguson,Kirk Cousins
13,Jonathon Taylor,Jaylen Waddle,Logan Thomas,Geno Smith
14,Zach Moss,DK Metcalf,Luke Musgrave,CJ Stroud
15,Isiah Pacheco,DaVonta Smith,Dalton Kincaid,Deshaun Watson
16,David Montgomery,DJ Moore,,Matthew Stafford
17,Aaron Jones,Mike Evans,,
18,Tony Pollard,Justin Jefferson,,
19,Joe Mixon,Christian Kirk,,
20,Brian Robinson,Nico Collins,,
21,Kyren Williams,Adam Thielen,,
22,Devon Achane,Jakobi Meyers,,
23,James Cook,Amari Cooper,,
24,Jerome Ford,Zay Flowers,,
25,Jahmyr Gibbs,Christian Watson,,
26,Alexander Mattison,Deebo Samuel,,
27,Rhamondre Stevenson,Garrett Wilson,,
28,Rachaad White,Terry McLaurin,,
29,Dameon Pierce,Chris Godwin,,
30,Javonte Williams,Marquise Brown,,
31,Kareem Hunt,Calvin Ridley,,
32,James Conner,Diontae Johnson,,
33,Najee Harris,Tyler Lockett,,
34,Aj Dillon,George Pickens,,
35,Jaylen Warren,Jordan Addison,,
36,Rochon Johnson,DeAndre Hopkins,,
37,Miles Sanders,Tee Higgins,,
38,Tyler Allgeier,Gabe Davis,,
39,Chuba Hubbard,Drake London,,
40,,Michael Thomas,,
41,,JSN,,
42,,Jerry Jeudy,,
43,,Joshua Palmer,,
44,,Tank Dell,,
45,,Rashee Rice,,
46,,Tutu Atwell,,
47,,KJ Osborn,,
48,,Josh Reynolds,,
49,,Curtis Samuel,,
